                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3488,                 2.4221,                 1.5885,                0.45816,                0.33172,                0.35279,                0.19408,                 1.5249,                 2.4752,                 1.9323,             0.00047243,             0.00047243,             0.00047243
                      2,                 1.4219,                 2.0747,                 1.6398,                0.32913,                0.32404,                0.30002,                0.16563,                 1.6251,                 2.5858,                 2.0245,             0.00093937,             0.00093937,             0.00093937
                      3,                 1.4871,                 1.9918,                 1.6897,                0.56028,                0.18958,                0.16353,                0.08139,                 1.9476,                 4.1284,                 2.2962,              0.0013969,              0.0013969,              0.0013969
                      4,                  1.462,                 1.9186,                 1.6788,                0.40573,                0.39667,                0.36094,                0.18094,                  1.701,                 2.2464,                 2.1379,              0.0013866,              0.0013866,              0.0013866
                      5,                  1.418,                 1.8032,                 1.6503,                0.38722,                0.35138,                0.31655,                0.16142,                 1.7288,                 2.2767,                 2.1668,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.3933,                 1.6789,                 1.6195,                0.45051,                0.27552,                0.23831,                0.12335,                 1.7727,                 2.4128,                 2.1599,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.3689,                 1.6199,                 1.6053,                0.56898,                0.42494,                0.44243,                 0.2508,                 1.5635,                 1.8927,                 1.9822,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.3395,                 1.6079,                 1.5912,                0.65206,                0.44745,                0.48715,                0.28159,                 1.4979,                 1.7444,                 1.9105,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.3376,                 1.5671,                 1.5834,                0.48421,                0.44292,                0.42887,                0.24086,                 1.5591,                 2.0762,                 1.9915,                0.00133,                0.00133,                0.00133
                     10,                 1.3088,                 1.4967,                 1.5632,                0.74103,                0.41653,                 0.4537,                0.26297,                 1.4558,                 1.8441,                 1.8674,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.3179,                 1.5026,                 1.5683,                0.62299,                0.41293,                  0.475,                0.27299,                 1.5183,                 1.7317,                 1.8948,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.2977,                  1.457,                 1.5432,                0.48287,                0.39374,                0.40461,                0.22512,                 1.6466,                 2.0343,                 2.1175,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.2552,                 1.3665,                 1.5034,                0.68516,                0.42682,                0.51352,                0.30238,                 1.4414,                 1.6239,                 1.8573,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.2564,                 1.3642,                 1.5097,                0.75245,                0.38124,                0.43886,                0.26054,                 1.4944,                 1.8782,                 1.8405,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.2409,                 1.3462,                 1.5063,                0.59196,                0.44822,                0.49913,                 0.3018,                 1.4543,                 1.5972,                 1.8655,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.2295,                  1.323,                 1.4997,                 0.6624,                0.47894,                0.53172,                0.32939,                 1.4364,                 1.5525,                 1.8237,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.2095,                 1.2789,                 1.4876,                0.74956,                0.45921,                0.52294,                0.31729,                 1.4536,                 1.6771,                 1.8612,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.2095,                 1.2991,                 1.4777,                0.65572,                0.46792,                0.53869,                0.33337,                 1.3955,                 1.4857,                 1.7986,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.2066,                 1.2555,                 1.4698,                 0.5593,                0.49245,                0.50728,                0.30903,                 1.5018,                 1.5916,                 1.8561,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.1972,                 1.2717,                 1.4746,                0.61014,                0.52855,                0.54889,                0.33676,                 1.4142,                 1.4647,                 1.8187,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.1704,                 1.2206,                 1.4588,                0.81457,                0.46249,                0.55855,                0.35008,                 1.3888,                 1.5459,                 1.7656,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.1798,                 1.1944,                 1.4482,                0.83495,                0.47256,                0.55225,                0.34716,                 1.3844,                 1.5524,                 1.7518,              0.0011461,              0.0011461,              0.0011461
                     23,                   1.17,                 1.1915,                 1.4475,                0.61417,                0.52742,                0.57263,                0.36675,                 1.3664,                 1.4709,                 1.7371,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.1725,                 1.1901,                 1.4585,                0.58466,                0.56785,                0.57334,                0.36293,                 1.3388,                 1.3531,                  1.744,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.1468,                 1.1358,                 1.4258,                0.66142,                0.46817,                0.51073,                0.31193,                 1.4318,                 1.6009,                 1.8016,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.1512,                 1.1406,                 1.4363,                0.72934,                0.47277,                0.52306,                0.32637,                 1.3867,                 1.5338,                  1.755,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.1129,                 1.0947,                 1.4017,                0.67515,                0.51998,                0.58338,                 0.3635,                 1.3894,                 1.3957,                 1.7902,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.1297,                  1.098,                 1.4002,                0.64218,                0.52453,                0.55504,                0.35507,                 1.3798,                 1.3921,                 1.7691,              0.0010612,              0.0010612,              0.0010612
                     29,                  1.125,                 1.1236,                 1.4179,                0.67613,                0.50079,                0.55472,                0.35317,                 1.4153,                 1.3667,                 1.8015,               0.001047,               0.001047,               0.001047
                     30,                 1.0973,                 1.0545,                  1.391,                0.71427,                0.46182,                0.53101,                0.33527,                 1.3879,                 1.5762,                 1.7862,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.1222,                 1.0693,                  1.394,                0.58871,                0.54109,                 0.5694,                0.35786,                 1.3675,                 1.3849,                 1.7573,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.0913,                 1.0559,                 1.3966,                0.64127,                0.51177,                0.54838,                0.35647,                 1.3339,                 1.4638,                 1.7232,              0.0010046,              0.0010046,              0.0010046
                     33,                  1.076,                 1.0245,                 1.3745,                0.66438,                0.53158,                0.56491,                0.35914,                 1.3401,                 1.4151,                 1.7524,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.0859,                 1.0258,                 1.3848,                0.72956,                0.51435,                0.58409,                0.37742,                 1.3225,                 1.3442,                 1.7089,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.0688,                 1.0018,                 1.3667,                0.68641,                 0.5759,                0.60511,                0.38387,                 1.3343,                 1.3101,                 1.7302,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.0525,                 1.0025,                 1.3581,                0.73008,                0.53876,                0.59286,                0.38472,                 1.3377,                 1.3784,                 1.7428,               0.000948,               0.000948,               0.000948
                     37,                 1.0634,                0.99533,                 1.3672,                0.63685,                0.57286,                0.57612,                0.36247,                 1.3547,                 1.3813,                 1.7364,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.0533,                0.98392,                 1.3641,                0.69671,                0.55313,                0.61442,                0.39266,                 1.3251,                 1.2448,                 1.7051,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.0577,                 0.9935,                 1.3633,                0.76674,                0.52183,                 0.5837,                 0.3746,                 1.3409,                 1.4098,                   1.73,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.0599,                0.98364,                 1.3622,                0.61584,                0.54877,                0.58311,                0.38739,                 1.2945,                 1.3284,                 1.6932,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.0338,                0.94387,                 1.3413,                0.70946,                0.52625,                0.57869,                0.37583,                 1.3441,                 1.3575,                 1.6986,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.0381,                0.95129,                 1.3487,                 0.6902,                0.54934,                0.59112,                0.38947,                 1.3388,                 1.3206,                 1.7455,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.0324,                0.91037,                 1.3255,                0.74429,                0.55161,                0.61165,                0.39311,                 1.3347,                 1.2511,                 1.7113,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.0243,                0.92255,                 1.3359,                0.67285,                0.56356,                0.59564,                0.38399,                 1.3235,                 1.3214,                 1.7039,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.0096,                0.90384,                 1.3138,                0.65775,                0.58473,                0.59648,                0.39127,                 1.3037,                 1.3207,                 1.6966,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.0291,                0.90748,                 1.3426,                0.70102,                0.59515,                0.62985,                0.40651,                 1.3277,                 1.2203,                 1.7019,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.0115,                 0.9085,                 1.3258,                0.70378,                0.59008,                0.62955,                0.41209,                 1.2976,                  1.202,                 1.6736,             0.00079238,             0.00079238,             0.00079238
                     48,                0.99971,                0.89395,                 1.3206,                0.67828,                0.53999,                0.58334,                0.37974,                 1.3175,                 1.3335,                  1.709,             0.00077823,             0.00077823,             0.00077823
                     49,                0.98269,                0.86449,                 1.3034,                0.63821,                0.58201,                 0.6053,                0.39109,                 1.3327,                 1.3097,                 1.7158,             0.00076409,             0.00076409,             0.00076409
                     50,                0.99222,                0.89275,                 1.3127,                0.77946,                0.56166,                0.61038,                0.39789,                 1.3022,                 1.3294,                 1.6933,             0.00074994,             0.00074994,             0.00074994
                     51,                0.98353,                0.87087,                 1.3113,                0.61556,                0.59059,                0.60639,                0.39776,                 1.3199,                 1.2935,                  1.696,             0.00073579,             0.00073579,             0.00073579
                     52,                0.99495,                0.85661,                 1.3064,                0.72254,                0.56133,                0.61101,                0.39814,                 1.3042,                 1.2993,                 1.7019,             0.00072164,             0.00072164,             0.00072164
                     53,                0.98173,                0.85859,                 1.3071,                0.64128,                0.59014,                0.60983,                0.38968,                 1.3203,                 1.2634,                 1.7098,              0.0007075,              0.0007075,              0.0007075
                     54,                0.97256,                0.84933,                 1.2949,                0.73734,                0.57458,                0.61457,                0.39525,                 1.3203,                 1.2783,                  1.704,             0.00069335,             0.00069335,             0.00069335
                     55,                0.99143,                 0.8701,                 1.3087,                 0.7756,                 0.5484,                0.61593,                 0.4071,                 1.2675,                 1.3003,                 1.6393,              0.0006792,              0.0006792,              0.0006792
                     56,                0.96594,                0.82948,                 1.2836,                 0.6555,                0.58374,                0.61458,                0.40191,                 1.2932,                 1.3114,                 1.6839,             0.00066506,             0.00066506,             0.00066506
                     57,                0.94948,                0.80937,                 1.2793,                0.66227,                0.59425,                0.61676,                0.40681,                  1.303,                 1.2518,                  1.702,             0.00065091,             0.00065091,             0.00065091
                     58,                0.94708,                0.81219,                 1.2754,                0.71875,                0.57239,                0.63336,                0.42121,                 1.2814,                 1.2171,                 1.6696,             0.00063676,             0.00063676,             0.00063676
                     59,                0.95124,                0.81693,                 1.2838,                0.71451,                0.58223,                0.62746,                0.41194,                 1.2762,                 1.2618,                 1.6682,             0.00062262,             0.00062262,             0.00062262
                     60,                0.93977,                  0.798,                 1.2687,                0.76359,                0.57563,                0.64142,                0.41089,                 1.3036,                 1.2065,                 1.6928,             0.00060847,             0.00060847,             0.00060847
                     61,                0.95511,                0.80958,                 1.2753,                0.74009,                0.56505,                0.61484,                0.40631,                 1.2964,                  1.285,                 1.6966,             0.00059432,             0.00059432,             0.00059432
                     62,                0.92524,                0.78631,                 1.2605,                0.69788,                0.58231,                0.62627,                 0.4086,                 1.2934,                 1.1953,                 1.6832,             0.00058017,             0.00058017,             0.00058017
                     63,                0.91631,                 0.7621,                 1.2501,                0.70027,                0.60184,                 0.6331,                0.42409,                  1.276,                 1.1974,                 1.6611,             0.00056603,             0.00056603,             0.00056603
